Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-18,Data Security Designer - Azure/AWS, Hyderabad/Secunderabad,CARBYNETECH,8 , 13 ,,,"DataLake,Data Security Designer,Data Security,Azure,SQL,Data Pipeline,Data Delivery development,Data Warehousing,AWS"
2024-02-18,Sr. Storage Engineer/System Engineer," Gurugram,Haryana",Fareportal,4 , 9 ,,,"Administration,Hyper-V,Scripting,Automation,Storage Management,Virtualization,System Engineering,Storage,SAN,Hypervisor,NAS,VMware"
2024-02-18,MarketPlace Operations || Ecommerce (Off Role) || Bangalore," Bangalore Rural,Karnataka, Bengaluru,Karnataka",Randstad,1 , 6 ,3.5,6,"MarketPlace,Market Place,Communication Skill,E-commerce,Cataloguing,Catalog Management,Supplier,MarketPlace Operation,Omni Channel,E-Commerce Marketing,Vendor"
2024-02-18,Business Analyst with UI/UX Knowledge, Hyderabad,Owfis Jobpe Technologies,2 , 4 ,,,"Balsamiq,Business Analysis,Requirement Gathering,Wireframing,Ui/Ux,Mockups,Requirement Analysis,User Research,Use Cases,User Stories,JIRA"
2024-02-18,IT Audit Analyst, Kolkata,KPMG India,1 , 3 ,,,"computer science,it projects,coso,risk management,iso,gdpr,internal audit,communication skills,data analysis,writing,dss,nist,cisa,sox,hipaa,pci dss,it audit,it infrastructure,cobit,it risk,information technology,networking,pci,information security"
2024-02-18,AI/ML Computational Science Analyst, Mumbai,Accenture,3 , 5 ,,,"ssrs,sql server,excel,data visualization,sql,power bi desktop,advanced excel,microsoft azure,communication skills,data analysis,teaching,tableau,writing,mathematics,business intelligence,power bi,python,ssis,dax,microsoft power bi,ssas"
2024-02-18,SAP MM End User Professionals, Pune,Pinnacle Tech Systems,,,,,"purchase,inventory management,sap,sap sd,sap mm,reporting,data analysis,master data,end user,purchase order,inventory,invoice verification,material management,vendor,sap mm module,supply chain,warehouse,mm,sap hana,procurement,purchase requisition"
2024-02-18,Database Team Lead, Bengaluru,Knight Learning Solutions,5 , 7 ,,,"MySQL,AWS RDS,MongoDB Certified DBA,DynamoDB,Cassandra,MongoDB,Oracle Certified Professional,NoSQL,PostgreSQL,Azure Cosmos DB"
2024-02-18,Programmer ( Development), Pune,Persistent,8 , 10 ,,,"ETL,data modeling,Shell,SQL,Azure Synapse Analytics,PostgreSQL,Azure Data Factory,Python,Databricks"
2024-02-18,Associate Manager," Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Tredence,2 , 5 ,,,"advanced analytics,Data management,Cloud,Data mining,data science,Data analytics,data visualization,Machine learning,GCP,big data"
2024-02-18,Associate Analyst - Insights & Analytics - SA, Hyderabad/Secunderabad,Pepsi Foods,1 , 4 ,,,"SPSS,Business analytics,SQL,Workflow,Content management,Auditing,Process management,Recruitment,Analytics,Consulting"
2024-02-18,Manager - Business Development, Bengaluru,Flipkart,4 , 7 ,,,"key account management,inside sales,cold calling,lead generation,business development management,sales,negotiation,data analysis,b2b sales,business development,marketing,client relationship management,channel sales,bdm,vendor management,corporate sales"
2024-02-18,Job Opening | Transunion | Sr Network Engineer, Chennai,Transunion,3 , 5 ,,,"F5 Load Balancer,Firewall,Routing,Switching,Network Engineering"
2024-02-18,Engineer - XR, Bangalore/Bengaluru,"Qualcomm Technologies, Inc",1 , 5 ,,,"Linux,Opengl,Android,SOC,System design,Integration testing,Graphics,Middleware"
2024-02-18,.Net Full Stack Developer - C#/SSIS," Hyderabad/Secunderabad, Bangalore/Bengaluru",CARBYNETECH,4 , 9 ,,,"jQuery,WPF,C#,SQL Server,Javascript,SSIS,MVC,WebAPI,OOPS,.net"
2024-02-18,Business Analyst, Ahmedabad,IT Service & IT Consultancy ,1 , 3 ,,,"application development,Business Analysis,Sales,application implementation,data Analysis"
2024-02-18,Data Scientist, Chennai,UPS Supply Chain Solutions (UPS SCS),3 , 7 ,,,"Open source,Linux,Performance tuning,Data management,SQL,Data analysis,Unix,C++,Windows,Python"
2024-02-18,Lead Digital Product Owner, Bangalore/Bengaluru,TVS Motor,7 , 10 ,,,"Data analysis and visualization,Product roadmap development,Agile methodologies (Scrum,Kanban),User experience (UX) design,Digital marketing,User interface (UI) design"
2024-02-18,SAP Syniti ADM Consultant, Bangalore/Bengaluru,Techstar Group,7 , 12 ,,,"SAP HANA,ETL,ERP Implementation,ADM,SAP BODS,SAP Syniti,SAP EWM,SAP MM,SAP Plant Maintenance"
2024-02-18,Copytest - Python Testing Professional, Navi Mumbai,Tacnique,2 , 5 ,,,"pytest,functional testing,test cases,exploratory testing,smoke testing,test scripts,software testing,unit testing,integration testing,black box testing,regression testing,selenium,manual testing,python,automation testing,test execution,jira"
2024-02-18,Dev Lead - 5.3, Pune,Persistent,8 , 10 ,,,"data engineering,Snowflake,etl,informatica,oracle,postgresql,data integration,python,sql scripting"
2024-02-18,Senior Software Engineer, Bangalore/Bengaluru,Spectro Analytical Labs,5 , 8 ,,,"WPF,Computer science,Object oriented design,UML,Performance management,SOA,SQL,Scrum,Agile,Debugging"
2024-02-18,AI Platform Engineer, Bengaluru,Accenture,2 , 14 ,,,"coding,scikit-learn,linux,aws,numpy,docker,sql,deep learning,machine learning,data science,pandas,mysql,algorithms,nltk,git,keras,r,python,spacy,data structures,hadoop,artificial intelligence,tensorflow,java,natural language processing"
2024-02-18,Job Description,,unknown,,,,,"Financial Reporting,US GAAP,SOX Compliance"
2024-02-18,Natural Language Processing (NLP)-AI Platform Engineer, Bengaluru,Accenture,2 , 14 ,,,"neural networks,presentation skills,deep learning,rnn,lstm,data analysis,machine learning,data science,tableau,writing,problem solving,r,python,artificial intelligence,chatbot,text mining,statistics,natural language processing,sentiment analysis"
2024-02-18,NPI IT Business Partner, Bangalore/Bengaluru,Garrett,0 , 12 ,,,"Enterprise architecture,Automation,Computer science,Change management,Business continuity,Information technology,Monitoring,Business analysis,Project planning,IT strategy"
2024-02-18,TS - Automotive Infotainment testing," Pune,Maharashtra",Srivango,3 , 8 ,,,"IVI,BT,PBAP and MAP,SmartPhone features,Radio,Aux,Bluetooth,USB,Camera,AVRCP,testing,automotive,Media,Apple CarPlay,A2DP,CAN,Android Auto,HFP,Infotainment"
2024-02-18,Business Systems Analyst, Bangalore/Bengaluru,Sunquest Information Systems,3 , 7 ,,,"Financial reporting,IT marketing,Data analysis,Analyst,MS SQL,Data analytics,power bi,data governance,query"
2024-02-18,HR Business Analyst, Gurgaon/Gurugram,TMF Group,2 , 5 ,,,"Administration,Project management,ISO,Automation,Information technology,Continuous improvement,Operations,HRIS,Monitoring,Ticketing"
2024-02-18,Quantitative Analyst II, Chennai,Xome,1 , 4 ,,,"statistical modeling,quantitative analysis,quantitative,r,matlab,programming,data analytics,statistics,investment,data analysis,machine learning,data science,predictive modeling,financial markets,business analysis,python,sql,algorithms"
